code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-02 00:00:00,4.624,4.57,4.634,4.526,0.0,0.08963,1586927397.0,7238824085.0,-1.6358157554885844,4.646
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-08 00:00:00,4.742,4.83,4.832,4.71,0.0,0.1304,2301877075.0,11014328154.0,5.68927789934354,4.57
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-09 00:00:00,4.77,4.714,4.786,4.706,0.0,0.1092,1937162418.0,9189422589.0,-2.401656314699786,4.83
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-10 00:00:00,4.748,4.758,4.834,4.736,0.0,0.07908,1398061487.0,6677063888.0,0.9333899024183197,4.714
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-13 00:00:00,4.724,4.724,4.742,4.692,0.0,0.08983,1590949576.0,7500706737.0,-0.7145859604875958,4.758
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-14 00:00:00,4.77,4.75,4.798,4.702,0.0,0.11545,2012636388.0,9545919513.0,0.5503810330228578,4.724
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-15 00:00:00,4.858,4.814,4.872,4.802,0.0,0.07533,1309189731.0,6323739563.0,1.3473684210526327,4.75
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-16 00:00:00,4.874,4.994,4.994,4.872,0.0,0.08488,1475746293.0,7305282474.0,3.739094308267547,4.814
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-17 00:00:00,4.948,4.936,4.966,4.894,0.0,0.10312,1804412160.0,8870821997.0,-1.1613936724068847,4.994
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-20 00:00:00,4.952,4.95,4.996,4.918,0.0,0.09869,1722646963.0,8550232505.0,0.2836304700162122,4.936
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-21 00:00:00,4.978,4.956,4.98,4.912,0.0,0.07305,1283420838.0,6344253046.0,0.12121212121212581,4.95
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-22 00:00:00,4.898,4.858,4.902,4.836,0.0,0.06034,1057183451.0,5132387869.0,-1.977401129943518,4.956
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-23 00:00:00,4.854,4.758,4.858,4.744,0.0,0.08027,1403468953.0,6688244619.0,-2.0584602717167484,4.858
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-24 00:00:00,4.73,4.8,4.808,4.674,0.0,0.04755,834751876.0,3976831632.0,0.8827238335435018,4.758
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-27 00:00:00,4.814,4.83,4.868,4.794,0.0,0.10319,1837579552.0,8890138421.0,0.6250000000000052,4.8
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-28 00:00:00,4.824,4.726,4.828,4.71,0.0,0.06468,1162587171.0,5528528984.0,-2.153209109730851,4.83
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-29 00:00:00,4.784,4.81,4.816,4.756,0.0,0.05735,1019998475.0,4885222621.0,1.7774016081252568,4.726
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-30 00:00:00,4.78,4.776,4.792,4.72,0.0,0.05249,940418650.0,4475772061.0,-0.7068607068607029,4.81
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-04 00:00:00,4.844,4.874,4.95,4.838,0.0,0.08082,1435982363.0,7042182248.0,2.051926298157451,4.776
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-05 00:00:00,4.868,4.818,4.868,4.752,0.0,0.02931,518780130.0,2485939732.0,-1.148953631514158,4.874
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-06 00:00:00,4.858,4.87,4.918,4.818,0.0,0.04639,820211463.0,3997274290.0,1.0792860107928703,4.818
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-07 00:00:00,4.956,5.01,5.03,4.956,0.0,0.04268,758870407.0,3796379463.0,2.8747433264886997,4.87
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-08 00:00:00,4.986,4.998,5.015,4.936,0.0,0.12284,2179416098.0,10819863372.0,-0.2395209580838237,5.01
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-11 00:00:00,4.96,4.998,5.01,4.946,0.0,0.07798,1373159119.0,6846939900.0,0.0,4.998
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-12 00:00:00,5.04,4.968,5.04,4.95,0.0,0.07552,1328666474.0,6617247146.0,-0.6002400960384203,4.998
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-13 00:00:00,4.94,4.988,5.015,4.908,0.0,0.08894,1557175727.0,7722992649.0,0.4025764895330206,4.968
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-14 00:00:00,5.14,4.96,5.145,4.96,0.0,0.08008,1404681272.0,7046625208.0,-0.5613472333600735,4.988
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-15 00:00:00,4.95,4.83,4.96,4.81,0.0,0.16948,2963617375.0,14411572053.0,-2.6209677419354818,4.96
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-18 00:00:00,4.794,4.736,4.794,4.706,0.0,0.1032,1837240323.0,8704613518.0,-1.946169772256735,4.83
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-19 00:00:00,4.734,4.76,4.78,4.71,0.0,0.06251,1126232028.0,5340845556.0,0.5067567567567572,4.736
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-20 00:00:00,4.74,4.77,4.792,4.714,0.0,0.08815,1583465467.0,7528054040.0,0.2100840336134409,4.76
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-21 00:00:00,4.816,4.668,4.832,4.658,0.0,0.10193,1827521383.0,8644885248.0,-2.138364779874202,4.77
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-22 00:00:00,4.728,4.756,4.778,4.696,0.0,0.11866,2117612858.0,10065582200.0,1.885175664095974,4.668
