asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
018043,2026-03-11,1.7648,-0.06%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-10,1.7658,-0.28%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-09,1.7707,1.41%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-06,1.7460,-1.39%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-05,1.7707,-0.43%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-04,1.7784,1.48%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-03,1.7525,-1.23%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-02,1.7744,0.12%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-27,1.7722,-0.28%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-26,1.7772,-1.26%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-25,1.7998,1.21%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-24,1.7782,0.96%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-13,1.7613,0.10%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-12,1.7595,-1.92%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-11,1.7940,0.26%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-10,1.7893,-0.62%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-09,1.8004,0.63%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-06,1.7891,2.05%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-02-05,1.7531,-1.26%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-02-04,1.7755,-1.78%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-02-03,1.8076,-1.59%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-02-02,1.8368,0.72%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-30,1.8237,-1.35%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-29,1.8486,-0.48%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-28,1.8576,0.18%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-27,1.8543,0.86%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-26,1.8384,0.27%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-23,1.8334,0.20%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-22,1.8297,0.72%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-21,1.8167,1.31%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-20,1.7932,-2.11%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
